time gmax vmax 
-3.000000000000000000e+00 -1.000000000000000021e-02 3.033050609001571374e+01
-3.000000000000000000e+00 -2.000000000000000042e-02 3.232421763850712182e+01
-3.000000000000000000e+00 -2.999999999999999889e-02 3.392419431776409056e+01
-3.000000000000000000e+00 -4.000000000000000083e-02 3.539372585238309199e+01
-2.000000000000000000e+00 -1.000000000000000021e-02 3.051332978808267526e+01
-2.000000000000000000e+00 -2.000000000000000042e-02 3.255724888190086119e+01
-2.000000000000000000e+00 -2.999999999999999889e-02 3.418900531591709324e+01
-2.000000000000000000e+00 -4.000000000000000083e-02 3.569841429851005188e+01
-1.000000000000000000e+00 -1.000000000000000021e-02 3.066968840314305922e+01
-1.000000000000000000e+00 -2.000000000000000042e-02 3.273476466330252066e+01
-1.000000000000000000e+00 -2.999999999999999889e-02 3.437216776092024872e+01
-1.000000000000000000e+00 -4.000000000000000083e-02 3.590984075513988216e+01
0.000000000000000000e+00 -1.000000000000000021e-02 3.076380897349768873e+01
0.000000000000000000e+00 -2.000000000000000042e-02 3.283069676767608058e+01
0.000000000000000000e+00 -2.999999999999999889e-02 3.444693034750546445e+01
0.000000000000000000e+00 -4.000000000000000083e-02 2.232891962880272843e+02
1.000000000000000000e+00 -1.000000000000000021e-02 3.080042745789309677e+01
1.000000000000000000e+00 -2.000000000000000042e-02 3.283306228668971727e+01
1.000000000000000000e+00 -2.999999999999999889e-02 3.439208738808464716e+01
1.000000000000000000e+00 -4.000000000000000083e-02 3.583653214181251911e+01
2.000000000000000000e+00 -1.000000000000000021e-02 3.075115160981623674e+01
2.000000000000000000e+00 -2.000000000000000042e-02 3.270738648334460663e+01
2.000000000000000000e+00 -2.999999999999999889e-02 3.421645141024561809e+01
2.000000000000000000e+00 -4.000000000000000083e-02 3.555505999210733137e+01
3.000000000000000000e+00 -1.000000000000000021e-02 3.059278510569500042e+01
3.000000000000000000e+00 -2.000000000000000042e-02 3.244897109333514607e+01
3.000000000000000000e+00 -2.999999999999999889e-02 3.385612878079204080e+01
3.000000000000000000e+00 -4.000000000000000083e-02 3.511601012179895065e+01
4.000000000000000000e+00 -1.000000000000000021e-02 3.027281038725321949e+01
4.000000000000000000e+00 -2.000000000000000042e-02 3.197766331565312115e+01
4.000000000000000000e+00 -2.999999999999999889e-02 3.331377151760197108e+01
4.000000000000000000e+00 -4.000000000000000083e-02 4.937279136490217752e+03
5.000000000000000000e+00 -1.000000000000000021e-02 2.977852326316222431e+01
5.000000000000000000e+00 -2.000000000000000042e-02 3.129961856185532909e+01
5.000000000000000000e+00 -2.999999999999999889e-02 3.251193445104360080e+01
5.000000000000000000e+00 -4.000000000000000083e-02 7.697753682964800248e+01
6.000000000000000000e+00 -1.000000000000000021e-02 2.909884897280251081e+01
6.000000000000000000e+00 -2.000000000000000042e-02 3.038308510571026133e+01
6.000000000000000000e+00 -2.999999999999999889e-02 3.144189848132160137e+01
6.000000000000000000e+00 -4.000000000000000083e-02 3.239252064161981792e+01
7.000000000000000000e+00 -1.000000000000000021e-02 2.835752641081547765e+01
7.000000000000000000e+00 -2.000000000000000042e-02 2.929069947034710708e+01
7.000000000000000000e+00 -2.999999999999999889e-02 3.011698496810578263e+01
7.000000000000000000e+00 -4.000000000000000083e-02 2.835352256772391115e+02
8.000000000000000000e+00 -1.000000000000000021e-02 2.770524044692493604e+01
8.000000000000000000e+00 -2.000000000000000042e-02 2.820609198966043252e+01
8.000000000000000000e+00 -2.999999999999999889e-02 2.869287946825902225e+01
8.000000000000000000e+00 -4.000000000000000083e-02 2.920087397027120701e+01
9.000000000000000000e+00 -1.000000000000000021e-02 2.737635325613305426e+01
9.000000000000000000e+00 -2.000000000000000042e-02 2.752112744005156841e+01
9.000000000000000000e+00 -2.999999999999999889e-02 2.767207372761326312e+01
9.000000000000000000e+00 -4.000000000000000083e-02 1.209970839910284042e+02
1.000000000000000000e+01 -1.000000000000000021e-02 2.725114206845789155e+01
1.000000000000000000e+01 -2.000000000000000042e-02 2.726638791152412367e+01
1.000000000000000000e+01 -2.999999999999999889e-02 2.728197519531791215e+01
1.000000000000000000e+01 -4.000000000000000083e-02 2.729791517603758777e+01
1.100000000000000000e+01 -1.000000000000000021e-02 2.723622686813576266e+01
1.100000000000000000e+01 -2.000000000000000042e-02 2.723622686813576266e+01
1.100000000000000000e+01 -2.999999999999999889e-02 2.723622686813576266e+01
1.100000000000000000e+01 -4.000000000000000083e-02 2.723622686813576266e+01
1.200000000000000000e+01 -1.000000000000000021e-02 2.723622686813576266e+01
1.200000000000000000e+01 -2.000000000000000042e-02 2.723622686813576266e+01
1.200000000000000000e+01 -2.999999999999999889e-02 2.723622686813576266e+01
1.200000000000000000e+01 -4.000000000000000083e-02 2.723622686813576266e+01
1.300000000000000000e+01 -1.000000000000000021e-02 2.723622686813576266e+01
1.300000000000000000e+01 -2.000000000000000042e-02 2.723622686813576266e+01
1.300000000000000000e+01 -2.999999999999999889e-02 2.723622686813576266e+01
1.300000000000000000e+01 -4.000000000000000083e-02 2.723622686813576266e+01
1.400000000000000000e+01 -1.000000000000000021e-02 2.723622686813576266e+01
1.400000000000000000e+01 -2.000000000000000042e-02 2.723622686813576266e+01
1.400000000000000000e+01 -2.999999999999999889e-02 2.723622686813576266e+01
1.400000000000000000e+01 -4.000000000000000083e-02 2.723622686813576266e+01
