# Dend2 Dend3   Potential
0.000000000000000000e+00 0.000000000000000000e+00 -7.000488312307977878e+01
0.000000000000000000e+00 1.000000000000000000e+00 -6.933474679680261943e+01
0.000000000000000000e+00 2.000000000000000000e+00 -6.836107994984487846e+01
0.000000000000000000e+00 3.000000000000000000e+00 -6.745312317909943545e+01
0.000000000000000000e+00 4.000000000000000000e+00 -6.660221076910248428e+01
0.000000000000000000e+00 5.000000000000000000e+00 -6.580061220176824577e+01
0.000000000000000000e+00 6.000000000000000000e+00 -6.504003284659380313e+01
0.000000000000000000e+00 7.000000000000000000e+00 -6.431238448643480865e+01
0.000000000000000000e+00 8.000000000000000000e+00 -6.361377137093563761e+01
0.000000000000000000e+00 9.000000000000000000e+00 -6.293698882423871765e+01
0.000000000000000000e+00 1.000000000000000000e+01 -6.226926573113154006e+01
0.000000000000000000e+00 1.100000000000000000e+01 -6.160907361348744615e+01
0.000000000000000000e+00 1.200000000000000000e+01 -6.094460687272944455e+01
0.000000000000000000e+00 1.300000000000000000e+01 -6.025476885611939792e+01
0.000000000000000000e+00 1.400000000000000000e+01 -5.952760121285279382e+01
0.000000000000000000e+00 1.500000000000000000e+01 -5.872383086408895281e+01
0.000000000000000000e+00 1.600000000000000000e+01 -5.776082246319795388e+01
0.000000000000000000e+00 1.700000000000000000e+01 -5.638282255112517305e+01
0.000000000000000000e+00 1.800000000000000000e+01 1.393177940715366248e+01
0.000000000000000000e+00 1.900000000000000000e+01 2.113065090628739640e+01
0.000000000000000000e+00 2.000000000000000000e+01 2.311863171949633511e+01
0.000000000000000000e+00 2.100000000000000000e+01 2.427853280250707613e+01
0.000000000000000000e+00 2.200000000000000000e+01 2.508951887661250879e+01
0.000000000000000000e+00 2.300000000000000000e+01 2.569881831709811948e+01
0.000000000000000000e+00 2.400000000000000000e+01 2.618187642980910468e+01
0.000000000000000000e+00 2.500000000000000000e+01 2.657954227430870731e+01
0.000000000000000000e+00 2.600000000000000000e+01 2.691050404788909844e+01
0.000000000000000000e+00 2.700000000000000000e+01 2.719795297107035026e+01
0.000000000000000000e+00 2.800000000000000000e+01 2.744335035713569937e+01
0.000000000000000000e+00 2.900000000000000000e+01 2.766150133046330950e+01
1.000000000000000000e+00 0.000000000000000000e+00 -6.937239693522379014e+01
1.000000000000000000e+00 1.000000000000000000e+00 -6.837401154535542958e+01
1.000000000000000000e+00 2.000000000000000000e+00 -6.744107007015060162e+01
1.000000000000000000e+00 3.000000000000000000e+00 -6.656506849004706794e+01
1.000000000000000000e+00 4.000000000000000000e+00 -6.573821570946866188e+01
1.000000000000000000e+00 5.000000000000000000e+00 -6.495282709595456083e+01
1.000000000000000000e+00 6.000000000000000000e+00 -6.419904501586006518e+01
1.000000000000000000e+00 7.000000000000000000e+00 -6.347231643069519436e+01
1.000000000000000000e+00 8.000000000000000000e+00 -6.276577706992138417e+01
1.000000000000000000e+00 9.000000000000000000e+00 -6.206741412763744847e+01
1.000000000000000000e+00 1.000000000000000000e+01 -6.136678582940402293e+01
1.000000000000000000e+00 1.100000000000000000e+01 -6.065503064155215185e+01
1.000000000000000000e+00 1.200000000000000000e+01 -5.990969512906108463e+01
1.000000000000000000e+00 1.300000000000000000e+01 -5.909252420375942449e+01
1.000000000000000000e+00 1.400000000000000000e+01 -5.814152736292869150e+01
1.000000000000000000e+00 1.500000000000000000e+01 -5.686734669167687173e+01
1.000000000000000000e+00 1.600000000000000000e+01 -5.333392848537634734e+01
1.000000000000000000e+00 1.700000000000000000e+01 2.090392913826227073e+01
1.000000000000000000e+00 1.800000000000000000e+01 2.319384502457644004e+01
1.000000000000000000e+00 1.900000000000000000e+01 2.445514765119446920e+01
1.000000000000000000e+00 2.000000000000000000e+01 2.530804073037200652e+01
1.000000000000000000e+00 2.100000000000000000e+01 2.594309297311276907e+01
1.000000000000000000e+00 2.200000000000000000e+01 2.644111405066417220e+01
1.000000000000000000e+00 2.300000000000000000e+01 2.684512342776879024e+01
1.000000000000000000e+00 2.400000000000000000e+01 2.718398087322309209e+01
1.000000000000000000e+00 2.500000000000000000e+01 2.747525022312014542e+01
1.000000000000000000e+00 2.600000000000000000e+01 2.772493836096635533e+01
1.000000000000000000e+00 2.700000000000000000e+01 2.794345345249825030e+01
1.000000000000000000e+00 2.800000000000000000e+01 2.813399819490081555e+01
1.000000000000000000e+00 2.900000000000000000e+01 2.830883074418049361e+01
2.000000000000000000e+00 0.000000000000000000e+00 -6.855886583386509869e+01
2.000000000000000000e+00 1.000000000000000000e+00 -6.759228929255685614e+01
2.000000000000000000e+00 2.000000000000000000e+00 -6.668434072456895478e+01
2.000000000000000000e+00 3.000000000000000000e+00 -6.582692023220397459e+01
2.000000000000000000e+00 4.000000000000000000e+00 -6.501154931752166988e+01
2.000000000000000000e+00 5.000000000000000000e+00 -6.422904500498300706e+01
2.000000000000000000e+00 6.000000000000000000e+00 -6.347375290443041962e+01
2.000000000000000000e+00 7.000000000000000000e+00 -6.273770778912055590e+01
2.000000000000000000e+00 8.000000000000000000e+00 -6.200916466644072500e+01
2.000000000000000000e+00 9.000000000000000000e+00 -6.127345052640321654e+01
2.000000000000000000e+00 1.000000000000000000e+01 -6.051981924285797021e+01
2.000000000000000000e+00 1.100000000000000000e+01 -5.972184206859432720e+01
2.000000000000000000e+00 1.200000000000000000e+01 -5.883152796362957559e+01
2.000000000000000000e+00 1.300000000000000000e+01 -5.774222483786942206e+01
2.000000000000000000e+00 1.400000000000000000e+01 -5.604895700518068935e+01
2.000000000000000000e+00 1.500000000000000000e+01 1.851503729582817570e+01
2.000000000000000000e+00 1.600000000000000000e+01 2.251698191533710514e+01
2.000000000000000000e+00 1.700000000000000000e+01 2.416623337250528536e+01
2.000000000000000000e+00 1.800000000000000000e+01 2.519065724601077250e+01
2.000000000000000000e+00 1.900000000000000000e+01 2.592138709371412020e+01
2.000000000000000000e+00 2.000000000000000000e+01 2.647946825784326208e+01
2.000000000000000000e+00 2.100000000000000000e+01 2.692485362045606578e+01
2.000000000000000000e+00 2.200000000000000000e+01 2.729166712694840413e+01
2.000000000000000000e+00 2.300000000000000000e+01 2.759941848570529643e+01
2.000000000000000000e+00 2.400000000000000000e+01 2.786752851891692018e+01
2.000000000000000000e+00 2.500000000000000000e+01 2.809657986718197975e+01
2.000000000000000000e+00 2.600000000000000000e+01 2.830030468229895746e+01
2.000000000000000000e+00 2.700000000000000000e+01 2.847978570808128040e+01
2.000000000000000000e+00 2.800000000000000000e+01 2.863986918524495096e+01
2.000000000000000000e+00 2.900000000000000000e+01 2.878417810464781468e+01
3.000000000000000000e+00 0.000000000000000000e+00 -6.787569449709006619e+01
3.000000000000000000e+00 1.000000000000000000e+00 -6.693035784239863517e+01
3.000000000000000000e+00 2.000000000000000000e+00 -6.603753154610772924e+01
3.000000000000000000e+00 3.000000000000000000e+00 -6.518863858816223456e+01
3.000000000000000000e+00 4.000000000000000000e+00 -6.437619362219216157e+01
3.000000000000000000e+00 5.000000000000000000e+00 -6.359229294789041376e+01
3.000000000000000000e+00 6.000000000000000000e+00 -6.282798210078813383e+01
3.000000000000000000e+00 7.000000000000000000e+00 -6.206977530548967081e+01
3.000000000000000000e+00 8.000000000000000000e+00 -6.130522292163436049e+01
3.000000000000000000e+00 9.000000000000000000e+00 -6.051908599631239127e+01
3.000000000000000000e+00 1.000000000000000000e+01 -5.968135609748154025e+01
3.000000000000000000e+00 1.100000000000000000e+01 -5.873549625691268261e+01
3.000000000000000000e+00 1.200000000000000000e+01 -5.754287573212946683e+01
3.000000000000000000e+00 1.300000000000000000e+01 -5.543636843984619134e+01
3.000000000000000000e+00 1.400000000000000000e+01 2.027212590314095664e+01
3.000000000000000000e+00 1.500000000000000000e+01 2.325650693587033047e+01
3.000000000000000000e+00 1.600000000000000000e+01 2.469862747945443360e+01
3.000000000000000000e+00 1.700000000000000000e+01 2.563007143337923210e+01
3.000000000000000000e+00 1.800000000000000000e+01 2.630663446509736048e+01
3.000000000000000000e+00 1.900000000000000000e+01 2.683029398880178817e+01
3.000000000000000000e+00 2.000000000000000000e+01 2.724986647933630834e+01
3.000000000000000000e+00 2.100000000000000000e+01 2.760115859456759324e+01
3.000000000000000000e+00 2.200000000000000000e+01 2.789554227225028171e+01
3.000000000000000000e+00 2.300000000000000000e+01 2.814911536595247199e+01
3.000000000000000000e+00 2.400000000000000000e+01 2.836779173338036841e+01
3.000000000000000000e+00 2.500000000000000000e+01 2.856348056667881607e+01
3.000000000000000000e+00 2.600000000000000000e+01 2.873551614163146795e+01
3.000000000000000000e+00 2.700000000000000000e+01 2.888877466143629391e+01
3.000000000000000000e+00 2.800000000000000000e+01 2.902898313000682862e+01
3.000000000000000000e+00 2.900000000000000000e+01 2.915440587452874865e+01
4.000000000000000000e+00 0.000000000000000000e+00 -6.728348062499851778e+01
4.000000000000000000e+00 1.000000000000000000e+00 -6.635187080731910214e+01
4.000000000000000000e+00 2.000000000000000000e+00 -6.546814178934829442e+01
